Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","97178","E","Estimated value"
"TCL","Crops and livestock products","380","Italy","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","170096","E","Estimated value"
"TCL","Crops and livestock products","380","Italy","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","191660","E","Estimated value"
"TCL","Crops and livestock products","380","Italy","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","323123","E","Estimated value"
"TCL","Crops and livestock products","380","Italy","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","32557","E","Estimated value"
"TCL","Crops and livestock products","388","Jamaica","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","602","E","Estimated value"
"TCL","Crops and livestock products","388","Jamaica","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","1491","E","Estimated value"
"TCL","Crops and livestock products","388","Jamaica","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","363","E","Estimated value"
"TCL","Crops and livestock products","388","Jamaica","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","18","E","Estimated value"
"TCL","Crops and livestock products","392","Japan","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","5791","E","Estimated value"
"TCL","Crops and livestock products","392","Japan","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","9668","E","Estimated value"
"TCL","Crops and livestock products","392","Japan","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","3714","E","Estimated value"
"TCL","Crops and livestock products","392","Japan","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","234","E","Estimated value"
"TCL","Crops and livestock products","400","Jordan","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","16866","E","Estimated value"
