Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","222","El Salvador","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","672","E","Estimated value"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","709","E","Estimated value"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","1114","E","Estimated value"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","627","E","Estimated value"
"TCL","Crops and livestock products","231","Ethiopia","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","74","E","Estimated value"
"TCL","Crops and livestock products","246","Finland","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","25414","E","Estimated value"
"TCL","Crops and livestock products","246","Finland","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","24179","E","Estimated value"
"TCL","Crops and livestock products","246","Finland","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","38476","E","Estimated value"
"TCL","Crops and livestock products","246","Finland","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","6685","E","Estimated value"
"TCL","Crops and livestock products","250","France","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","363399","E","Estimated value"
"TCL","Crops and livestock products","250","France","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","580351","E","Estimated value"
"TCL","Crops and livestock products","250","France","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","531788","E","Estimated value"
"TCL","Crops and livestock products","250","France","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","156992","E","Estimated value"
"TCL","Crops and livestock products","276","Germany","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","487838","E","Estimated value"
"TCL","Crops and livestock products","276","Germany","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","922125","E","Estimated value"
"TCL","Crops and livestock products","276","Germany","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","1168863","E","Estimated value"
"TCL","Crops and livestock products","276","Germany","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","105271","E","Estimated value"
"TCL","Crops and livestock products","300","Greece","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","134413","E","Estimated value"
"TCL","Crops and livestock products","300","Greece","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","94572","E","Estimated value"
"TCL","Crops and livestock products","300","Greece","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","218341","E","Estimated value"
"TCL","Crops and livestock products","300","Greece","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","12702","E","Estimated value"
